"date","state","fips","cases","deaths","area_sqmi","e_totpop","m_totpop","e_hu","m_hu","e_hh","m_hh","e_pov150","m_pov150","e_unemp","m_unemp","e_hburd","m_hburd","e_nohsdp","m_nohsdp","e_uninsur","m_uninsur","e_age65","m_age65","e_age17","m_age17","e_disabl","m_disabl","e_sngpnt","m_sngpnt","e_limeng","m_limeng","e_minrty","m_minrty","e_munit","m_munit","e_mobile","m_mobile","e_crowd","m_crowd","e_noveh","m_noveh","e_groupq","m_groupq","ep_pov150","mp_pov150","ep_unemp","mp_unemp","ep_hburd","mp_hburd","ep_nohsdp","mp_nohsdp","ep_uninsur","mp_uninsur","ep_age65","mp_age65","ep_age17","mp_age17","ep_disabl","mp_disabl","ep_sngpnt","mp_sngpnt","ep_limeng","mp_limeng","ep_minrty","mp_minrty","ep_munit","mp_munit","ep_mobile","mp_mobile","ep_crowd","mp_crowd","ep_noveh","mp_noveh","ep_groupq","mp_groupq","epl_pov150","epl_unemp","epl_hburd","epl_nohsdp","epl_uninsur","spl_theme1","rpl_theme1","epl_age65","epl_age17","epl_disabl","epl_sngpnt","epl_limeng","spl_theme2","rpl_theme2","epl_minrty","spl_theme3","rpl_theme3","epl_munit","epl_mobile","epl_crowd","epl_noveh","epl_groupq","spl_theme4","rpl_theme4","spl_themes","rpl_themes","f_pov150","f_unemp","f_hburd","f_nohsdp","f_uninsur","f_theme1","f_age65","f_age17","f_disabl","f_sngpnt","f_limeng","f_theme2","f_minrty","f_theme3","f_munit","f_mobile","f_crowd","f_noveh","f_groupq","f_theme4","f_total","e_daypop","e_noint","m_noint","e_afam","m_afam","e_hisp","m_hisp","e_asian","m_asian","e_aian","m_aian","e_nhpi","m_nhpi","e_twomore","m_twomore","e_otherrace","m_otherrace","ep_noint","mp_noint","ep_afam","mp_afam","ep_hisp","mp_hisp","ep_asian","mp_asian","ep_aian","mp_aian","ep_nhpi","mp_nhpi","ep_twomore","mp_twomore","ep_otherrace","mp_otherrace","IncidenceRate"
2020-12-31,"Alabama","01",361226,4827,50647.1077098168,4893186,530,2270398,7241,1888504,31271,1234349,83539,125343,20638,450272,35109,438947,38370,455545,44028,827434,4859,1092912,3004,778062,47896,135232,19420,46887,14209,1701039,30258,166932,16625,296231,28541,31447,9215,111849,17623,117179,16283,2022,202.2,430.1,118.6,1471,191.9,1090.7,134.9,655.7,102.4,1248,12.9,1461,10.4,1262.9,115.9,478.1,117.4,54.1,33.6,2373.8,70,217.4,53.3,1448.4,160.3,112.5,51.6,452,115.5,176.7,40.1,47.2271,42.2219,31.544,49.3442,39.3918,209.729,46.3411,31.8874,31.3681,46.1769,44.4222,26.9112,180.7658,42.6457,45.605,45.605,45.605,26.2725,51.0585,25.6913,38.9244,29.7293,171.676,35.1643,607.7758,45.1926,13,13,5,8,1,40,0,0,16,10,1,27,10,10,4,19,1,9,5,38,115,4848456,767113,75082,1292950,16996,212951,1445,67317,7343,21297,6328,1887,2170,94858,19438,9779,7149,1457.3,10.6,1917.7,42.7,245.6,11.7,51.5,15.4,37.7,14.3,2,10.6,109.9,37.5,9.6,14.1,7.3822249961477
2020-12-31,"Alaska","02",46740,198,571022.120429282,736990,1176,318370,3404,255173,5727,124802,12186,26429,4094,61848,5279,33176,4731,89765,9341,87629,2125,183359,1521,87806,7259,15411,2629,10640,3482,297011,10803,24253,2935,14161,2650,16527,2842,23627,3192,27095,6799,637.8,121.6,272.8,80.8,549.5,103.7,270.3,63.8,516,94.4,400,55.6,725.5,45.2,415,71.2,188.4,55.7,50.7,53.3,1590.6,144.5,146.7,37.4,159,44.6,336.2,70.4,665.7,89.3,246.8,147.3,10.5362,22.0583,8.5771,9.8105,25.7725,76.7546,15.4523,5.4817,17.996,10.7188,15.0746,14.6361,63.9072,11.1097,24.7595,24.7595,24.7595,15.3989,7.4224,26.6639,23.9644,21.8599,95.3095,24.1855,260.7308,18.3374,3,15,0,1,16,35,1,11,1,5,4,22,11,11,3,0,21,16,9,49,117,729972,71516,13857,22720,2359,53059,733,45855,3549,103843,5753,10306,1018,58275,6731,2953,1997,545,36.9,52.3,32.4,172.7,34.2,185.6,41.4,921.8,73,16.8,11.3,235.1,69.7,5.8,15.5,6.34201278172024
2020-12-31,"Arizona","04",523829,8879,113653.36745326,7174064,0,3040595,4301,2643430,15399,1625454,45411,199358,11854,726913,19630,587919,17492,747778,27367,1262204,1231,1639645,616,935769,21935,168805,9195,294903,14685,3290342,17641,355570,11010,313906,12699,116503,8393,153994,8190,157934,10835,441.8,31.4,109.4,16.8,353.8,29,221.5,17.9,164.4,16.2,318.3,1.9,337.9,1,246.9,15.2,96.4,16.5,70.1,9.8,751.5,8.6,67.6,9.3,315.3,21.7,82.4,14.3,91.4,14.2,51.6,6.3,10.1533,11.7118,9.1455,9.7652,9.1844,49.9602,11.2806,7.8933,8.1737,7.7881,9.1501,12.5688,45.574,11.8219,12.6023,12.6023,12.6023,7.5195,11.009,13.1405,7.8696,8.077,47.6156,11.9564,155.7521,12.6288,3,5,2,2,1,13,4,5,2,0,5,16,4,4,2,3,8,1,2,16,49,7074572,797193,36651,305973,7029,2260690,0,233048,5539,272294,6434,13323,1442,187561,12316,17453,4667,293.4,1.5,28.3,2.5,473.2,0,19.6,2.4,197.3,4.6,1.6,1.8,29.9,6,1.8,2.1,7.30170514230149
2020-12-31,"Arkansas","05",225138,3676,51992.8237001371,3011873,0,1379778,6656,1170544,26204,798280,67231,71704,16435,270183,27993,260360,29096,245980,33781,510117,4999,702832,3316,520988,39625,86714,15797,45657,12521,856774,27339,89283,12696,160888,22013,32498,9887,71868,14457,83757,13999,2318,273.3,454.7,149.4,1618.1,257.8,1132.3,165.3,582.5,126,1477.6,23.1,1672.5,19,1566.7,161.6,513.6,146.6,79.9,50.3,1914.1,94.1,226.7,70.2,1240.8,196.3,201,92.7,505,140.3,253.6,60,56.2002,45.7839,35.0138,51.4187,31.5973,220.0139,47.7167,39.7811,39.5315,60.7077,45.6163,29.8844,215.521,53.2938,41.4716,41.4716,41.4716,30.4067,50.1674,45.3812,42.2481,32.7864,200.9898,43.564,677.9963,49.9979,12,9,1,8,0,30,11,4,33,14,3,65,7,7,2,7,9,10,8,36,138,2983518,556657,64720,455485,12415,229629,300,45389,5760,15912,6043,10258,3222,93127,19625,6974,5504,1788.2,19.1,1203.1,45.3,404.3,4.2,47.4,19.5,37.6,24.1,10.3,18.1,203.4,66.8,7.1,16.9,7.47501637685254
2020-12-31,"California","06",2307860,25965,155858.256132664,39346023,344,14210945,15958,13103114,51440,8064060,199490,1229079,54865,4160660,88951,4286538,88785,2806173,98255,5644497,4789,8956641,1767,4146951,91587,786566,40300,3392783,87325,24980878,97364,2509829,54539,515666,30512,1075738,41496,920362,37949,824735,42979,1278.8,103.3,388.8,63.5,1747.4,125.7,856.3,62.1,387.4,55.1,1043.7,18.1,1280.7,11.2,781.1,57.2,343.1,58.9,361.1,39.3,2727.8,51,517.9,50.2,433.1,53.1,330.1,47.1,340.4,52.1,194.3,26,24.3046,40.3756,50.2248,34.4449,18.9737,168.3236,36.0073,23.1276,28.043,19.2159,29.6838,48.9922,149.0625,32.2933,46.4443,46.4443,46.4443,41.7716,19.6222,49.7498,27.5132,30.0768,168.7336,40.6814,532.564,39.5401,2,16,36,10,0,64,10,14,0,4,34,62,24,24,14,0,35,1,4,54,204,39535205,3352083,151024,2142371,34309,15380929,221,5743983,49005,131724,15970,135524,10654,1322199,66565,124148,26195,632.7,6.7,170.7,13.2,1795.2,11.4,434,19,97.7,19.3,15.8,11.4,196.5,27,18.2,17.3,5.86554834271306
2020-12-31,"Colorado","08",335579,4879,103637.015040294,5684926,1611,2361372,8962,2137402,22439,918369,60107,142722,17042,595474,31108,308785,23990,436261,38044,808337,5241,1259031,5126,603587,32205,117376,13928,145793,18079,1847476,28378,393534,20238,92263,12851,54260,9716,106078,12635,119595,15142,1351.7,238.5,309.9,131,1657.6,302.3,526.1,128.3,607.8,161.4,1238.6,91.5,1302.2,87.6,863.3,137.1,307.8,128.8,141.9,94.5,1706.8,165.1,501,92.3,563.9,134.8,148.8,93.9,289.5,117.9,229.5,84.1,24.4439,28.4685,45.953,18.8192,34.8382,152.5228,30.1686,30.3426,24.1197,22.5419,23.1511,40.9244,141.0797,26.4334,38.7632,38.7632,38.7632,36.1986,25.6826,33.5628,21.6521,26.7837,143.8798,27.3355,476.2455,28.2166,4,6,14,1,1,26,10,7,4,2,11,34,1,1,16,0,6,1,4,27,88,5663059,432910,49809,224190,10134,1231126,2818,178265,9046,29337,6699,7794,3212,164556,18864,12208,6235,818.5,51.8,91.1,42.5,1310.3,87.8,76.6,42.9,64.5,44.8,6.2,38.7,147.9,63.1,10.4,38.7,5.90296162166403
2020-12-31,"Connecticut","09",185708,5995,4842.37101940463,3570549,0,1521199,2535,1385437,8138,550656,21628,116234,7995,408148,13352,225550,9614,179066,11096,615466,510,735584,317,398550,13420,89327,5930,128670,8166,1212607,11703,192059,7611,11943,2402,25527,3333,118355,7135,112075,5883,119.4,7,46,4.5,226,10.3,64.3,4.1,34.3,3.2,142.8,0.7,156.2,0,93.4,4.5,47.7,4.4,21.4,2,205.9,3.3,78.8,4.8,9.5,2.2,11.6,2.2,56.6,5.2,32,2,1.0133,5.117,6.8529,2.068,0.8864,15.9376,2.7311,3.2002,1.8682,1.3561,4.3245,6.141,16.89,2.628,4.8653,4.8653,4.8653,6.6601,0.369,2.6269,5.1034,5.4416,20.201,4.1323,57.8939,3.1837,0,0,3,0,0,3,0,0,0,0,2,2,0,0,3,0,0,2,1,6,11,3488565,307335,17384,352036,5862,587212,0,161787,4043,4882,1286,742,436,93146,8323,12802,3381,69.4,0,52.3,1.5,99,0,30,1.2,1.1,0.8,0,0.8,20.9,2.3,2.3,1.1,5.2011049281217
2020-12-31,"Delaware","10",57456,926,1948.55314800692,967679,0,438438,689,370953,2873,170178,8600,28334,2849,99817,4588,63843,3388,55571,4826,182024,23,204207,33,126545,5038,25099,2049,18125,1973,372443,5296,43928,2652,34126,2204,6026,1053,21786,2054,24952,1363,57.1,3.1,17.1,2,82.9,4.2,30.9,1.8,18.8,1.8,60.6,0.1,63.1,0,42.2,1.8,21,1.9,5.9,0.7,108.4,1.8,26.5,2,28.8,1.8,5.3,1,16.8,1.9,7.1,0.5,0.8329,1.9185,2.4924,1.2867,0.8791,7.4096,1.4586,1.4768,1.1658,1.0881,1.9781,2.2945,8.0033,1.8352,2.2403,2.2403,2.2403,2.4105,1.301,1.3459,1.5042,1.583,8.1446,1.8243,25.7978,1.8075,0,0,1,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,4,1002985,94351,7482,208126,2977,91350,0,38249,1290,2836,448,290,107,28088,3241,3504,2230,32.8,0,60.9,1,26.7,0,9,0.4,1,0.3,0,0.3,9.5,1.2,1.2,0.7,5.9375061358157
2020-12-31,"District of Columbia","11",28983,786,61.126172108648,701974,0,319192,135,288307,1319,142659,4096,29290,1891,78562,2510,40811,1798,25288,2216,85912,85,126048,85,78625,2288,20028,1171,15671,1294,444182,2558,149343,2095,396,168,10460,1022,102173,2193,38992,0,21.3,0.6,7.1,0.5,27.2,0.9,8.1,0.4,3.7,0.3,12.2,0.1,18,0,11.4,0.3,6.9,0.4,2.4,0.2,63.3,0.4,46.8,0.7,0.1,0.1,3.6,0.4,35.4,0.8,5.6,0,0.3883,0.8253,0.83,0.2619,0.0506,2.3561,0.4488,0.0503,0.1025,0.1404,0.7161,0.8148,1.8241,0.1276,0.9405,0.9405,0.9405,0.9987,0.0019,0.8402,0.9962,0.8364,3.6734,0.9726,8.7941,0.6502,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1169083,84541,4138,312661,1578,77981,0,28347,596,1298,153,283,65,20047,1660,3565,958,12.8,0.6,44.5,0.2,11.1,0,4,0.1,0.2,0.1,0,0.1,2.9,0.2,0.5,0.1,4.12878539661013
2020-12-31,"Florida","12",1323307,21672,53652.1487125346,21216924,0,9562324,16367,7931313,69762,4749614,182533,556113,48319,2537519,87964,1751798,82679,2646931,124533,4347912,7146,4214444,4095,2840938,103533,484759,38367,1276274,62523,9885702,81415,1850744,54103,831641,47588,235731,25172,485183,36392,431523,37984,1719.5,166.1,389.9,96.2,1740.8,163.5,942.6,100.7,847.8,101.7,1474.5,20.6,1289.7,14.2,1123,93.4,383.7,84.3,197.6,37,2220.6,63,573.5,49,1457.9,132.4,185.7,60.7,361.6,77.5,410.8,59.2,36.5585,40.7242,45.832,38.9324,49.2963,211.3434,46.6017,39.483,17.1645,37.4561,32.5319,46.6801,173.3156,38.4299,46.1042,46.1042,46.1042,38.9825,44.678,41.0786,30.3941,40.0222,195.1554,45.9679,625.9186,47.6199,9,7,18,9,9,52,15,2,7,4,15,43,6,6,24,25,9,3,21,82,183,21141743,2488195,158223,3231108,46582,5468826,470,579476,20863,39070,10264,10889,5297,465441,53442,90892,27488,1058.9,15.8,935.6,37.8,977.4,4.8,107.4,13,25,12.3,4.8,11.5,149.7,38.2,20.8,16.6,6.23703511404386
